"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";
812461;22083804;"Seward Child Care Center";"2323 32nd Ave S";"Minneapolis";"MN";55406;
812551;22083302;"Valley Preschool";"413 S Greeley St";"Stillwater";"MN";55082;
812608;188301;"Hanson Blvd KinderCare";"1755 121st Ave. Northwest";"Minneapolis";"MN";55448;8002077019
812749;188311;"Champlin KinderCare";"202 E Hayden Lake Rd.";"Champlin";"MN";55316;
812750;188321;"University Avenue KinderCare";"10790 University Ave. NW";"Minneapolis";"MN";55448;8002077019
812774;22083626;"Glendale Early Childhood Family Development Center";"96 St Marys Ave SE";"Minneapolis";"MN";55414;
812794;188331;"Eden Prairie KinderCare";"12760 Anderson Lakes Pkwy";"Eden Prairie";"MN";55344;
812812;188341;"Woodbury KinderCare";"8400 City Centre Dr.";"Saint Paul";"MN";55125;8002077019
812830;188351;"Eden Prairie KinderCare Dell";"18295 Cascade Dr.";"Eden Prairie";"MN";55347;8002077019
812840;188361;"Ramsey KinderCare";"14100 St Francis Blvd.";"Anoka";"MN";55303;8002077019
812853;188371;"Eagan Cliff Road KinderCare";"1865  Plaza Dr.";"Saint Paul";"MN";55122;8002077019
812854;188381;"Carver Lake KinderCare";"6435 Lake Rd. Terrace";"Saint Paul";"MN";55125;8002077019
812857;22084262;"Kiddie Kampus Preschool";"8500 Hillside Trl S";"Cottage Grove";"MN";55016;
812892;188391;"Andover KinderCare";"1485 Bunker Lake Blvd. NW";"Andover";"MN";55304;
812908;188401;"Shannon Park KinderCare";"15080 Shannon Pkwy";"Rosemount";"MN";55068;
812909;188411;"Rockford KinderCare";"15755 Rockford Rd.";"Minneapolis";"MN";55446;8002077019
812948;217;"Precious Years Learning Center";"4695 Blue Rock Road";"Cincinnati";"OH";45247;5132452305
813025;188441;"Prior Lake Savage KinderCare";"14014 Highway 13 South";"Savage";"MN";55378;
813035;188451;"Burnsville KinderCare";"1888 East 134th St.";"Burnsville";"MN";55337;
813107;22083848;"Kinderberry Hill Child Development Center";"185 Cheshire Lane";"Minneapolis";"MN";55441;
813121;188461;"Woodbury Knowledge Beginnings";"8445 Seasons Pkwy";"Saint Paul";"MN";55125;8002077019
813122;188471;"Rochester Knowledge Beginnings";"2801 Superior Dr. NW";"Rochester";"MN";55901;
813123;188481;"Eagan Knowledge Beginnings";"4155 Lexington Ave. S.";"Saint Paul";"MN";55123;8002077019
813124;341011;"Oak Grove Knowledge Beginnings";"570 Oak Grove Pkwy";"Saint Paul";"MN";55127;8002077019
813158;188491;"Oakdale KinderCare";"7380 10th St. North";"Saint Paul";"MN";55128;8002077019
813196;188501;"Shakopee Valley KinderCare";"1308 Greenwood Ct.";"Shakopee";"MN";55379;
813205;188881;"ClubKid";"13027 Ridgedale Dr";"Hopkins";"MN";55305;9525451979
813235;188511;"Chanhassen KinderCare";"2800 Corporate Place";"Chanhassen";"MN";55317;
813237;188521;"St. Louis Park KinderCare";"4732 Excelsior Blvd.";"Minneapolis";"MN";55426;8002077019
813258;22083733;"Leaps and Bounds Family Child Care Center";"3438  151st St W";"Rosemount";"MN";55068;
813294;22083722;"Westwood Preschool";"3121 Westwood Dr";"Chanhassen";"MN";55317;
813383;22084471;"Primrose School of Savage";"7459 South Park Drive";"Savage";"MN";55378;
813393;22084479;"Celebration Academy";"16655 Kenyon Ave";"Lakeville";"MN";55044;
813410;22083529;"Today's Life Eden Prairie";"12901 Roberts Dr";"Eden Prairie";"MN";55346;
813459;22083455;"Concordia Language Villages";"4801 France Ave S";"Minneapolis";"MN";55410;
813478;188541;"Rogers KinderCare";"14080 Northdale Blvd.";"Rogers";"MN";55374;
813543;188551;"Dodd Blvd Lakeville KinderCare";"17420 Dodd Blvd.";"Lakeville";"MN";55044;8002077019
813606;22083658;"Jardin Magico Inc";"5101 France Ave S";"Minneapolis";"MN";55410;
821665;22020881;"A Child's Garden";"5427 JULMAR DRIVE";"Cincinnati";"OH";45238;
821666;22022267;"A Child's Garden";"5200 Sullivant Ave";"Columbus";"OH";43228;
821723;22020190;"Abilities First Early Childhood Learning Center";"4710 Timber Trail Drive";"Middletown";"OH";45044;
821817;22022556;"Amazing Kids Academy";"4501 Hoover Road";"Grove City";"OH";43123;
821825;22019882;"Anderson Hills Preschool";"7515 Forest Rd";"Cincinnati";"OH";45255;
821943;22021298;"Beachwood Forever Friends Daycare & Preschool";"23175 Commerce Park Drive";"Beachwood";"OH";44122;
822058;22021258;"Bright Start Child Care Center";"16200 Broadway";"Maple Heights";"OH";44137;
822108;22022280;"C James Grothaus Child Care Center";"275 E. Broad Street";"Columbus";"OH";43215;
822162;22021081;"Carousel House School";"5520 Far Hills Avenue";"Dayton";"OH";45429;
822199;22022569;"Central College Preschool";"975 S Sunbury Rd";"Westerville";"OH";43081;
822225;22024612;"Champions - Ledgeview";"9130 Shepard Road";"Macedonia";"OH";44056;
822262;22022584;"Cherry Creek Y-Club";"600 Fox Ridge Street";"Columbus";"OH";43228;
822294;22022286;"Children First Inc";"77 S High St 7th Fl";"Columbus";"OH";43215;
822339;22021299;"Childtime Children's Center";"3355 Richmond Ave";"Beachwood";"OH";44122;
822409;22022732;"City Kids In Hilliard";"4940 Scioto Darby Rd";"Hilliard";"OH";43026;
822454;22022555;"Columbia Heights Preschool";"775 Galloway Rd";"Galloway";"OH";43119;
822496;22019934;"Corryville Day Camp";"2823 Eden Avenue";"Cincinnati";"OH";45219;
822520;22022706;"Creative Child Care - East";"5831 Westbourne Ave";"Columbus";"OH";43213;
822522;22022249;"Creative Child Care - West Broad";"5765 W Broad St";"Galloway";"OH";43119;
822530;22023714;"Creative Early Learning Center III";"5020 Victor Dr";"Medina";"OH";44256;
822560;22023400;"Crescent Learning Center";"5227 S. Main Street";"Sylvania";"OH";43560;
822564;22019939;"Crossroads Child Development Center";"311 Martin Luther King Drive";"Cincinnati";"OH";45219;
822605;22022899;"Dedicated To Children Early Learning Center";"6970 Heisley Road";"Mentor";"OH";44060;
822686;22022302;"Early Horizons Learning Center";"4330 N. Clime Road";"Columbus";"OH";43228;
822745;22022480;"Enchanted Care Kids' Campus";"1231 County Line Road";"Westerville";"OH";43081;
822754;22022481;"Enchanted Care Learning Center";"1243 County Line Rd";"Westerville";"OH";43081;
822755;383;"Endeavor Learning Center";"5188 Cox-Smith Road";"Mason";"OH";45040;
822774;22022216;"Epworth Day Care With A Difference";"5100 Karl Rd";"Columbus";"OH";43229;
822803;5001;"Fairlawn KinderCare";"4050 Embassy Pkwy";"Akron";"OH";44333;8002077019
822818;22020392;"Faith Community Preschool";"8230 Cox Rd";"West Chester";"OH";45069;
822919;22021255;"First Step Enrichment Center";"5550 Northfield Road";"Maple Heights";"OH";44137;
823015;22020186;"Generations Learning & Activity Center";"10700 Campbell Rd";"Harrison";"OH";45030;
823031;22019963;"Gingerbread Academy";"4215 Malsbary Rd";"Cincinnati";"OH";45242;
823075;22021970;"Grace Learning Center";"100 Grace Drive";"Xenia";"OH";45385;
823118;3882;"Growing Minds";"12244 Sylvania Met. Road";"Berkey";"OH";43504;
823124;22024548;"H P C Early Childhood Center";"201 W Streetsboro Street";"Hudson";"OH";44236;
823126;22022315;"Halo Academy";"6049 Cleveland Ave";"Columbus";"OH";43220;
823174;22021259;"Heavenly Kids";"17150 Broadway";"Maple Heights";"OH";44137;
823175;22022627;"Heavenly Kids Center For Learning";"404 E. Mound St";"Columbus";"OH";43215;
823217;22020188;"Hilltop Preschool And Child Care";"949 Harrison Ave";"Harrison";"OH";45030;
823223;22023735;"Hobby Horse Preschool";"217 E. Liberty";"Medina";"OH";44256;
823268;22021731;"Hugs-N-Hearts Early Learning Center";"8989 Antares Ave";"Columbus";"OH";43240;
823314;22022320;"Infinite Learning Too!";"4249 Eastland Square Drive";"Columbus";"OH";43232;
823608;3712;"Avon Lake KinderCare";"407 Lear Rd.";"Avon Lake";"OH";44012;
823617;340711;"Wetherington KinderCare";"7236 Tylers Corner Dr.";"West Chester";"OH";45069;
