"id";"provider_id";"date";"type"
1133;2000;"03-27-2019";"Monitoring"
1696;2000;"09-19-2019";"Annual"
1889;2000;"01-09-2020";"Renewal"
1090;2377;"03-15-2019";"Annual"
1654;2377;"09-11-2019";"Monitoring"
1994;2377;"02-12-2020";"Monitoring"
199;1741;"10-16-2017";"Renewal"
321;1741;"04-13-2018";"Monitoring"
977;1741;"02-05-2019";"Annual"
1644;1741;"09-09-2019";"Monitoring"
1861;1741;"12-13-2019";"Annual"
76;1932;"09-12-2017";"Renewal"
508;1932;"05-11-2018";"Monitoring"
662;1932;"09-20-2018";"Annual"
1255;1932;"04-30-2019";"Monitoring"
1629;1932;"09-06-2019";"Annual"
197;1961;"12-04-2017";"Renewal"
599;1961;"06-20-2018";"Monitoring"
1106;1961;"03-13-2019";"Annual"
1499;1961;"07-19-2019";"Monitoring"
1952;1961;"01-23-2020";"Annual"
205;1926;"12-04-2017";"Renewal"
598;1926;"06-20-2018";"Monitoring"
1082;1926;"03-13-2019";"Annual"
1495;1926;"07-19-2019";"Monitoring"
1951;1926;"01-23-2020";"Annual"
340;2180;"02-02-2018";"Annual"
680;2180;"09-24-2018";"Monitoring"
1014;2180;"02-26-2019";"Annual"
1572;2180;"08-12-2019";"Monitoring"
1894;2180;"01-13-2020";"Renewal"
663;2579;"09-20-2018";"Annual"
1332;2579;"05-10-2019";"Monitoring"
1642;2579;"09-10-2019";"Annual"
32;2653;"04-02-2018";"Initial"
838;2653;"11-05-2018";"Monitoring"
1265;2653;"04-19-2019";"Annual"
1791;2653;"10-25-2019";"Monitoring"
711;1860;"03-23-2018";"Annual"
809;1860;"10-26-2018";"Monitoring"
1189;1860;"04-10-2019";"Annual"
1750;1860;"10-11-2019";"Monitoring"
262;1719;"01-11-2018";"Renewal"
821;1719;"11-01-2018";"Monitoring"
1134;1719;"03-27-2019";"Annual"
651;2099;"02-13-2018";"Annual"
652;2099;"09-07-2018";"Monitoring"
1127;2099;"03-26-2019";"Annual"
1553;2099;"08-08-2019";"Monitoring"
1944;2099;"01-29-2020";"Renewal"
357;1896;"04-30-2018";"Annual"
1028;1896;"02-28-2019";"Annual"
1481;1896;"07-15-2019";"Monitoring"
1948;1896;"01-21-2020";"Renewal"
178;2354;"11-14-2017";"Renewal"
561;2354;"08-23-2018";"Monitoring"
911;2354;"12-27-2018";"Annual"
1398;2354;"06-05-2019";"Monitoring"
1841;2354;"12-04-2019";"Annual"
139;2270;"10-25-2017";"Renewal"
900;2270;"12-18-2018";"Annual"
1878;2270;"12-30-2019";"Annual"
376;1754;"05-18-2018";"Annual"
1064;1754;"03-07-2019";"Monitoring"
1437;1754;"06-21-2019";"Annual"
1887;1754;"01-08-2020";"Monitoring"
563;1859;"07-24-2018";"Annual"
1150;1859;"03-18-2019";"Monitoring"
1523;1859;"07-22-2019";"Annual"
354;1948;"02-23-2018";"Annual"
845;1948;"10-12-2018";"Monitoring"
1122;1948;"03-18-2019";"Annual"
2073;1948;"03-04-2020";"Renewal"
243;2553;"01-22-2018";"Renewal"
755;2553;"09-14-2018";"Monitoring"
1087;2553;"03-18-2019";"Annual"
1676;2553;"09-16-2019";"Monitoring"
244;2555;"01-22-2018";"Renewal"
654;2555;"09-14-2018";"Monitoring"
1085;2555;"03-18-2019";"Annual"
1677;2555;"09-16-2019";"Monitoring"
38;2650;"04-06-2018";"Initial"
1376;2650;"05-30-2019";"Annual"
1609;2650;"09-03-2019";"Monitoring"
62;2687;"09-04-2018";"Initial"
1327;2687;"05-15-2019";"Monitoring"
1686;2687;"09-17-2019";"Annual"
285;2236;"03-19-2018";"Monitoring"
439;2236;"07-17-2018";"Annual"
1031;2236;"03-01-2019";"Monitoring"
