"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"https://childcarecenter.us/provider_detail/joseph_brown_elementary_preschool_columbia_tn";"Joseph Brown Elementary Preschool | COLUMBIA TN";"http://www.mauryk12.org/brownelementary/";"http://www.mauryk12.org/brownelementary/";"http://brownelementarymauryk12.ss9.sharpschool.com/parents___students/standards/kindergarten";;
"http://childcarecenter.us/provider_detail/small_wonders_preschool_cambria_ca";"SMALL WONDERS PRESCHOOL | CAMBRIA CA DAY CARE CENTER";"http://www.cambriapres.org/smallwonders.php";"http://www.cambriapres.org/smallwonders.php";"http://cambriapres.org/preschool/";"https://www.manta.com/c/mm767rp/small-wonders-preschool";
"https://childcarecenter.us/provider_detail/small_wonders_preschool_cambria_ca";"Small Wonders Preschool | CAMBRIA CA DAY CARE CENTER";"http://www.cambriapres.org/smallwonders.php";"http://www.cambriapres.org/smallwonders.php";"http://cambriapres.org/preschool/";"https://www.manta.com/c/mm767rp/small-wonders-preschool";
"https://childcarecenter.us/provider_detail/57441_campbellsville_child_development_center_campbellsville_ky";"Campbellsville Child Development Center | Campbellsville KY";"http://www.campbellsvillebaptistchurch.com/contentpages/19890/f16a6dc4-39e3-4afd-98a2-ec436ed50c32/C";"http://www.campbellsvillebaptistchurch.com/contentpages/19890/f16a6dc4-39e3-4afd-98a2-ec436ed50c32/C";"http://campbellsvillebaptistchurch.com/ministries/daycare";" ";
"http://childcarecenter.us/provider_detail/new_morning_after_school_program_henry_moore_candia_nh";"New Morning After School Program @ Henry Moore | Candia NH Center Based Program License";"http://www.newmorningschools.com/Candia.html";"http://newmorningschools.com/Candia.html";"http://candia.sau15.net/";;
"https://childcarecenter.us/provider_detail/new_morning_after_school_program_henry_moore_candia_nh";"New Morning After School Program @ Henry Moore | Candia NH";"http://www.newmorningschools.com/Candia.html";"http://newmorningschools.com/Candia.html";"http://candia.sau15.net/";;
"https://childcarecenter.us/provider_detail/central_baptist_weekday_early_education_program_eureka_mo";"Central Baptist Weekday Early Education Program | EUREKA MO";"http://www.centralpoints.org/weeschool.htm";"http://www.centralpoints.org/weeschool.htm";"http://cbcserves.org/";;
"https://childcarecenter.us/provider_detail/central_christian_church_pre_school_danville_il";"CENTRAL CHRISTIAN CHURCH PRE-SCHOOL | DANVILLE IL Day Care Center";"http://www.cccdan.org/goalsandvalues.php";"http://www.cccdan.org/goalsandvalues.php";"http://cccdan.org/?page_id=56";;
"https://childcarecenter.us/provider_detail/adams_lane_head_start_zanesville_oh";"Adams Lane Head Start | ZANESVILLE OH";"http://www.ccri.org/headstart.htm";"http://www.ccri.org/headstart.htm";"http://ccri.org/";;
"https://childcarecenter.us/provider_detail/celebration_church_of_god_roanoke_va";"Celebration Church Of God | Roanoke VA";"http://www.celebrationcog.org/after-school.php";"http://www.celebrationcog.org/after-school.php";"http://celebrationcog.com/after-school/";;
