"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"correct link";
"https://childcarecenter.us/provider_detail/edgewood_community_developmental_school_goldsboro_nc";"EDGEWOOD COMMUNITY DEVELOPMENTAL SCHOOL | GOLDSBORO NC Five Star Center License";"http://www.waynecountyschools.org/Domain/894";"http://www.waynecountyschools.org/Domain/894";"http://ecds332.waynecountyschools.org/";
"https://childcarecenter.us/provider_detail/early_childhood_school_second_ponce_de_leon_baptist_church_atlanta_ga";"Early Childhood School @ Second Ponce De Leon Baptist Church";"https://spdl.org/ministries/ecspreschool/";"http://www.spdl.org/ministries/ecspreschool/";"http://ecspreschool.spdl.org/";
"https://childcarecenter.us/provider_detail/torrance_tykes_at_edison_torrance_ca";"Torrance Tykes At Edison | TORRANCE CA DAY CARE CENTER";"http://www.tusd.org/Schools/Preschool/tabid/415/Default.aspx";"http://www.tusd.org/Schools/Preschool/tabid/415/Default.aspx";"http://edison.tusd.org/";
"https://childcarecenter.us/provider_detail/temple_emanuel_preschool_denver_co";"Temple Emanuel Early Childhood Center | Denver CO Day Care Center";"https://www.emanueldenver.org/learning/early-childhood";"http://www.emanueldenver.org/learning/early-childhood#!e548f4bb_e574_4915_e957_60fd27322c5b";"http://elc.emanueldenver.org/";
"https://childcarecenter.us/provider_detail/time_for_tots_philadelphia_pa";"TIME FOR TOTS | PHILADELPHIA PA Child Care Center";"http://www.tottimekids.com/risingsunave.html";"http://www.tottimekids.com/risingsunave.html";"http://elcacenters.com/centers/rising-sun/";
"https://childcarecenter.us/provider_detail/vvusd_el_potrero_preschool_moreno_valley_ca";"Vvusd El Potrero Preschool | MORENO VALLEY CA DAY CARE CENTER";"http://www.valverde.edu/schools/preschool.shtml";"http://www.valverde.edu/schools/preschool.shtml";"http://elpotrero.valverde.edu/";
"http://childcarecenter.us/provider_detail/eastern_wayne_elementary_school_goldsboro_nc";"EASTERN WAYNE ELEMENTARY SCHOOL | GOLDSBORO NC Five Star Center License";"http://www.waynecountyschools.org/Domain/648";"http://www.waynecountyschools.org/Domain/648";"http://ewe329.waynecountyschools.org/";
"https://childcarecenter.us/provider_detail/eastern_wayne_elementary_school_goldsboro_nc";"EASTERN WAYNE ELEMENTARY SCHOOL | GOLDSBORO NC Five Star Center License";"http://www.waynecountyschools.org/Domain/648";"http://www.waynecountyschools.org/Domain/648";"http://ewe329.waynecountyschools.org/";
"http://childcarecenter.us/provider_detail/first_church_nursery_school_swampscott_ma";"First Church Nursery School | SWAMPSCOTT MA Large Group and School Age Child Care (Group Child Care)";"http://www.thefirstchurch.org/nursery.htm";"http://www.thefirstchurch.org/nursery.htm";"http://fcnursery.org/2016/";
"http://childcarecenter.us/provider_detail/fall_creek_preschool_east_bend_nc";"FALL CREEK PRESCHOOL | EAST BEND NC Five Star Center License";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://fcs.yadkin.k12.nc.us/";
"https://childcarecenter.us/provider_detail/fall_creek_out_of_school_time_program_east_bend_nc";"FALL CREEK OUT-OF-SCHOOL-TIME PROGRAM | EAST BEND NC Five Star Center License";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://fcs.yadkin.k12.nc.us/";
"https://childcarecenter.us/provider_detail/fall_creek_preschool_east_bend_nc";"Fall Creek Preschool | EAST BEND NC";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://www.yadkin.k12.nc.us/FallCreek.cfm?subpage=608296";"http://fcs.yadkin.k12.nc.us/";
"https://childcarecenter.us/provider_detail/tiferet_bet_israel_preschool_blue_bell_pa";"Tiferet Bet Israel Preschool | BLUE BELL PA Child Care Center";"https://tbibluebell.org/education/earlychildhoodeducation/";"http://www.tbibluebell.org/education/earlychildhoodeducation/";"http://felskids.org/center/lokoff/";
"https://childcarecenter.us/provider_detail/forest_glen_elementary_before_after_care_indianapolis_in";"Forest Glen Elementary - Before & After Care | Indianapolis IN";"https://forestglen.ltschools.org/programs";"https://forestglen.ltschools.org/programs";"http://forestglen.ltschools.org/academics";
"https://childcarecenter.us/provider_detail/pesd1_garfield_preschool_phoenix_az";"P.e.s.d.#1 - Garfield Preschool | PHOENIX AZ";"https://phxschools.org/school_sites/Garfield/index.htm";"http://www.phxelem.k12.az.us/school_sites/Garfield/index.htm";"http://garfield.phxschools.org/";
"https://childcarecenter.us/provider_detail/guardian_angels_preschool_denver_co";"Guardian Angels Preschool | Denver CO Day Care Center";"https://archden.org/index.cfm/ID";"http://www.archden.org/index.cfm/ID/44";"http://guardianangelschurchdenver.org/GuardianAngelsSchool.html";
"http://childcarecenter.us/provider_detail/seta_laverne_stewart_head_start_sacramento_ca";"SETA - LAVERNE STEWART - HEAD START | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"http://childcarecenter.us/provider_detail/seta_phoenix_park_early_learning_center_sacramento_ca";"SETA-PHOENIX PARK EARLY LEARNING CENTER | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"http://childcarecenter.us/provider_detail/seta_vineland_head_start_rio_linda_ca";"SETA VINELAND HEAD START | RIO LINDA CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"http://childcarecenter.us/provider_detail/seta_walnut_grove_head_start_walnut_grove_ca";"SETA-WALNUT GROVE HEAD START | WALNUT GROVE CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/grizzly_hollow_head_start_galt_ca";"Grizzly Hollow Head Start | GALT CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_auberry_park_head_start_sacramento_ca";"Seta- Auberry Park Head Start | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_broadway_early_learning_center_head_start_sacramento_ca";"Seta-broadway Early Learning Center Head Start | SACRAMENTO CA";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_crossroads_headstart_sacramento_ca";"Seta Crossroads Headstart | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_elkhorn_headstart_sacramento_ca";"Seta - Elkhorn Headstart | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_freedom_park_early_learning_center_north_highlands_ca";"Seta-freedom Park Early Learning Center | NORTH HIGHLANDS CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_galt_head_start_galt_ca";"Seta- Galt Head Start | GALT CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_hillsdale_avenue_head_start_north_highlands_ca";"Seta - Hillsdale Avenue Head Start | NORTH HIGHLANDS CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_hopkins_park_headstart_sacramento_ca";"Seta - Hopkins Park Headstart | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_illa_collin_early_learning_center_sacramento_ca";"Seta-illa Collin Early Learning Center | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_job_corps_head_start_sacramento_ca";"Seta- Job Corps Head Start | SACRAMENTO CA INFANT CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_kennedy_estates_sacramento_ca";"Seta - Kennedy Estates | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_laverne_stewart_head_start_sacramento_ca";"SETA - LAVERNE STEWART - HEAD START | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_mather_head_start_mather_ca";"SETA- MATHER HEAD START | MATHER CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
"https://childcarecenter.us/provider_detail/seta_natomas_bannon_creek_headstart_sacramento_ca";"SETA-NATOMAS-BANNON CREEK HEADSTART | SACRAMENTO CA DAY CARE CENTER";"https://headstart.seta.net/early-learning.htm";"https://headstart.seta.net/early-learning.htm";"http://headstart.seta.net/find/all/";
