"ID";"Start";"End";"Disciplinary/Non-Disciplinary Action"
572011;"08/09/2012";"02/09/2013";"-Licensing Agreement"
572011;"08/31/2008";"01/17/2009";"-Licensing Agreement"
406665;"09/08/2014";"03/08/2015";"-Licensing Agreement"
406665;"03/07/2014";"09/07/2014";"-Licensing Agreement"
406665;"12/18/2007";"12/18/2008";"-Licensing Agreement"
407032;"09/19/2016";"03/19/2017";"Nondisciplinary Corrective Action"
407032;"12/08/2014";"06/08/2015";"Nondisciplinary Corrective Action"
407032;"09/23/2013";"03/23/2014";"-Licensing Agreement"
407032;"12/18/2007";"12/18/2008";"-Licensing Agreement"
718635;"09/18/2018";"09/18/2019";"Probation"
404693;"01/09/2017";"01/10/2018";"-Licensing Agreement"
661223;"05/07/2015";"06/07/2015";"Civil Penalty"
404680;"01/15/2015";"07/15/2015";"Nondisciplinary Corrective Action"
407070;"09/13/2004";"08/29/2005";"-Licensing Agreement"
837898;"11/15/2017";"01/11/2018";"-Licensing Agreement"
406264;"12/13/2018";"06/13/2019";"-Licensing Agreement"
638313;"10/29/2012";"01/02/2013";"-Licensing Agreement"
638313;"10/16/2012";"10/29/2012";"-Licensing Agreement"
417117;"11/03/2016";"05/03/2017";"Probation"
417117;"12/09/2014";"06/09/2015";"-Licensing Agreement"
417117;"06/05/2014";"06/05/2015";"Probation"
417117;"06/05/2014";"07/05/2014";"Civil Penalty"
417117;"06/11/2013";"12/11/2013";"-Licensing Agreement"
652429;"07/20/2015";"08/20/2015";"Civil Penalty"
627252;"07/09/2012";"01/09/2013";"-Licensing Agreement"
404719;"02/11/2019";"08/11/2019";"Nondisciplinary Corrective Action"
404719;"06/14/2016";"12/14/2016";"-Licensing Agreement"
757488;"07/29/2016";"09/27/2016";"-Licensing Agreement"
406251;"07/18/2016";"01/18/2017";"Nondisciplinary Corrective Action"
406251;"03/21/2016";"07/18/2016";"-Licensing Agreement"
729009;"11/15/2018";"05/15/2019";"Nondisciplinary Corrective Action"
581947;"09/11/2018";"03/11/2019";"-Licensing Agreement"
581947;"04/16/2010";"10/16/2010";"Nondisciplinary Corrective Action"
503724;"02/11/2019";"08/11/2019";"Nondisciplinary Corrective Action"
503724;"06/21/2011";"12/21/2011";"Nondisciplinary Corrective Action"
716609;"02/23/2017";"02/23/2018";"Probation"
716609;"01/24/2017";"02/06/2017";"-Licensing Agreement"
716609;"09/13/2016";"10/21/2016";"-Licensing Agreement"
716609;"07/20/2015";"01/20/2016";"Nondisciplinary Corrective Action"
407024;"07/31/2007";"01/31/2008";"Probation"
407024;"07/31/2007";"08/29/2007";"Civil Penalty"
407024;"01/08/2007";"07/08/2007";"Nondisciplinary Corrective Action"
407036;"11/30/2018";"05/30/2019";"-Licensing Agreement"
570508;"04/11/2013";"07/14/2014";"Probation"
570508;"05/29/2014";"06/28/2014";"Civil Penalty"
570508;"07/12/2012";"07/12/2013";"Probation"
405079;"07/22/2009";"01/08/2010";"-Licensing Agreement"
404821;"10/06/2009";"10/08/2010";"-Licensing Agreement"
404439;"02/13/2015";"08/13/2015";"Nondisciplinary Corrective Action"
404439;"05/09/2010";"11/09/2010";"-Licensing Agreement"
