"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
2999;612;"Compliance Review";"03-14-2016";"03/15/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=670874&provider_action_date_of_visit=2016-03-15"
2998;612;"Compliance Review";"03-08-2018";"03/09/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=670874&provider_action_date_of_visit=2018-03-09"
2997;612;"Compliance Review";"03-13-2019";"03/14/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=670874&provider_action_date_of_visit=2019-03-14"
2996;612;"Compliance Review";"03-04-2020";"03/05/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=670874&provider_action_date_of_visit=2020-03-05"
3018;616;"Compliance Review";"07-11-2016";"07/12/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=680748&provider_action_date_of_visit=2016-07-12"
3016;616;"Compliance Review";"07-12-2018";"07/13/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=680748&provider_action_date_of_visit=2018-07-13"
3015;616;"Compliance Review";"07-15-2019";"07/16/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=680748&provider_action_date_of_visit=2019-07-16"
3017;616;"Compliance Review";"07-09-2017";"07/10/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=680748&provider_action_date_of_visit=2017-07-10"
3030;619;"Compliance Review";"06-10-2018";"06/11/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=682887&provider_action_date_of_visit=2018-06-11"
3031;619;"Compliance Review";"06-15-2017";"06/16/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=682887&provider_action_date_of_visit=2017-06-16"
3029;619;"Compliance Review";"06-24-2019";"06/25/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=682887&provider_action_date_of_visit=2019-06-25"
3032;619;"Compliance Review";"06-21-2016";"06/22/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=682887&provider_action_date_of_visit=2016-06-22"
3048;623;"Compliance Review";"05-06-2019";"05/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=687275&provider_action_date_of_visit=2019-05-07"
3050;623;"Compliance Review";"05-23-2016";"05/24/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=687275&provider_action_date_of_visit=2016-05-24"
3049;623;"Compliance Review";"05-03-2018";"05/04/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=687275&provider_action_date_of_visit=2018-05-04"
3062;626;"Compliance Review";"08-09-2017";"08/10/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=691866&provider_action_date_of_visit=2017-08-10"
3060;626;"Compliance Review";"08-12-2019";"08/13/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=691866&provider_action_date_of_visit=2019-08-13"
3061;626;"Compliance Review";"08-21-2018";"08/22/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=691866&provider_action_date_of_visit=2018-08-22"
3063;626;"Compliance Review";"08-22-2016";"08/23/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=691866&provider_action_date_of_visit=2016-08-23"
3069;628;"Compliance Review";"11-12-2019";"11/13/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=692974&provider_action_date_of_visit=2019-11-13"
3068;628;"Compliance Review";"12-02-2019";"12/03/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=692974&provider_action_date_of_visit=2019-12-03"
3073;629;"Compliance Review";"09-26-2016";"09/27/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=693125&provider_action_date_of_visit=2016-09-27"
3070;629;"Compliance Review";"09-08-2019";"09/09/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=693125&provider_action_date_of_visit=2019-09-09"
3071;629;"Compliance Review";"09-19-2018";"09/20/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=693125&provider_action_date_of_visit=2018-09-20"
3072;629;"Compliance Review";"09-17-2017";"09/18/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=693125&provider_action_date_of_visit=2017-09-18"
3078;630;"Compliance Review";"10-01-2017";"10/02/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2017-10-02"
