"provider_id";"date";"type";"roi_url"
"0011J000017VV6uQAG";" 6/15/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MQov/3Hj3Q7hD5f_p1Oxroif9GjnZUWIpU_LaQparXKAwDgY"
"0011J000017VV6vQAG";" 6/12/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ugzo/EtBWRP12iW5Fyd.pwXOwwEHRrzeDZwAzYYWm6n.BevA"
"0011J000017VV6vQAG";" 6/7/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mq3X/Wpc8VkaH.KZarDXlN4aH9zQjeK.MNn8fhbsbk6OMyNM"
"0011J000017VV6vQAG";" 7/11/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MSbK/aKY6Sp8RUirh0T0oRm4YlTKqggVwJTTGKd4f1qgNNoQ"
"0011J000017VV6wQAG";" 6/5/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UgS1/I_9DE5n_VKTkRad6dDFsbyKTzXxXTmYAFWyG7IwGncA"
"0011J000017VV6wQAG";" 5/20/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MoEx/I9v8zG2uGS8PI8D3JnBCIpmKab0sPsLBmx8lnhf5K2E"
"0011J000017VV6wQAG";" 6/28/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MS3X/NbVy3FNPd2WdY8bM8s5Xz7mRUL6kzf5g8QrEwMIOW0A"
"0011J000017VV6xQAG";" 5/1/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MnJw/gAi58a9.ksB7jUBrmnR7vqGThEJnxCIjEEaFYQNdl.U"
"0011J000017VV6xQAG";" 5/7/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MND3/m1hWp_F9Af0d_VYldQHDHn2zt9NNOby1AYRJUKJwZPA"
"0011J000017VV6zQAG";" 9/10/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UluU/jKBrp4hNynoXtIXZOiIKtPAUHJMb1kFuQxkKd7Ceqng"
"0011J000017VV6zQAG";" 6/6/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MpV1/SKpBg72688vY2KzSkaabCf7QnTisCp_G3GH7FBEo1JA"
"0011J000017VV6zQAG";" 8/28/2018";"Limited Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MWZc/HDcFQ94FFeDWRc3C7._weavuNUDDvBhm6Tc.ZSXTR8k"
"0011J000017VV6zQAG";" 7/12/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MSq0/06RcZef1DpE8wc7FHkQgGX562zzbQ8HK0cFRgB1KcDA"
"0011J000017VV79QAG";" 6/22/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UhJ5/mHdTwqYh1fQ3JXJAD3rJyknUtsZ4iAoWT75fgmHZr0o"
"0011J000017VV79QAG";" 5/28/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mp03/agX7QUOkpKEpMe1lQavDJvcx7nZBcXWHng87.QLIaeg"
"0011J000017VV79QAG";" 6/7/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MQeM/P0cgeMlKXSxgA.21Emi_Q3NC02UCPEihDnRorKR4df4"
"0011J000017VV7CQAW";" 9/15/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Um9P/HJaJGNR8ZNF8djtdBI89kTzrAo_v_GLcOR2CEN4ZKsY"
"0011J000017VV7CQAW";" 6/5/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MpTA/WcisUflElIwWtrK0SKeMMdhSCcAbj8wRO2MaqBwKcy0"
"0011J000017VV7CQAW";" 7/13/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MT4W/5ZwlAJwVsKsH5vqRKHQl72Rke1.CoCvQgJCgoH.hsuo"
"0011J000017ngZEQAY";" 2/11/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000AbjW/emQtFXs5rEZhsV4T49IDayXrRnJq00lVCPYZenLjHO0"
"0011J000017ngZEQAY";" 3/20/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MmZt/NkBOAA85exGPxCcQmzKqnNcuNwRE7ukgEMFKYCXmUYU"
"0011J000017ngZEQAY";" 5/1/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MMXR/XWnlsppkb.U3ADf7fLOgUyC.0Tkm8DVsyrbZYBNWFb8"
"0011J000017npF5QAI";" 7/29/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UjZy/rE5NwNVDUKOCtUERPBMzdkDF8EXfdITzlp7aFXa0FyU"
"0011J000017npF5QAI";" 6/18/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mq5J/hosJGNktuNFrpZWy8eY_f2K0HBuYDASZBgRjoAieMXc"
