"ProviderId";"ProviderName";"LocationAddressLine1";"LocationCity";"LocationCountyDescription";"LocationStateDescription";"LocationZipCode5";"PhoneNumber";"ProviderType";"ProviderStatus";"Capacity";"IsSubsidyAccepted";"HoursOfOperationMonday";"HoursOfOperationTuesday";"HoursOfOperationWednesday";"HoursOfOperationThursday";"HoursOfOperationFriday";"HoursOfOperationSaturday";"HoursOfOperationSunday";"NumberOfStars";"IsFoodPermitAvailable";"Infant";"Toddler";"PreSchool";"SchoolAge";"IsAcceditationsAvailable";"Transportation";"IsOngoingProcess";"PartTimeCostInfant1";"FullTimeCostInfant1";"PartTimeCostToddler1";"FullTimeCostToddler1";"PartTimeCostToddler2";"FullTimeCostToddler2";"PartTimeCostPreschool1";"FullTimeCostPreschool1";"PartTimeCostPreschool2";"FullTimeCostPreschool2";"PartTimeCostPreschool3";"FullTimeCostPreschool3";"PartTimeCostSchoolAge1";"FullTimeCostSchoolAge1";"PartTimeCostSchoolAge2";"FullTimeCostSchoolAge2";"NonTraditional";"MailingAddress";"LocationAddress";"IsServingSpecialNeeds";"IsActiveCCAPChildren";"ExpiryDate";"AgeRangeSupported";"ProviderCLRNumber";"LocationAddressLine2"
85529;"D & J's Learn & Play";"868 Gerardi Road";"Lexington";"FAYETTE";"KY";40509;8595432377;"Licensed";"APPROVED";12;"Y";"7:00 AM - 12:00 AM";"7:00 AM - 12:00 AM";"7:00 AM - 12:00 AM";"7:00 AM - 12:00 AM";"7:00 AM - 12:00 AM";"No Information Available";"No Information Available";2;"N";"Y";"Y";"Y";"Y";"N";"Y";"N";41;47;41;47;41;47;34;34;34;34;34;34;32;36;32;36;"Y";"868 Gerardi Road, Lexington, KY, 40509";"868 Gerardi Road, Lexington, KY, 40509";"Y";"Y";"2/28/2023";"Infant To School Age";"L359356";
850;"Lexington Hearing & Speech Center";"350 Henry Clay Blvd";"Lexington";"FAYETTE";"KY";40502;8592684545;"Licensed";"APPROVED";239;"Y";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";4;"N";"Y";"Y";"Y";"Y";"N";"N";"N";;45;;45;;42.92;23.77;41.3;23.77;41.3;23.77;41.3;;46.15;;40;"N";"350 Henry Clay Blvd, Lexington, KY, 40502";"350 Henry Clay Blvd, Lexington, KY, 40502";"Y";"Y";"8/31/2023";"Infant To School Age";"L354744";
1475;"YMCA After School at Glendover Elementary";"710 Glendover Road";"Lexington";"FAYETTE";"KY";40503;8593677335;"Licensed";"APPROVED";150;"Y";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"N";"Y";;"N";"N";;;;;;;;;;;;;14;37;14;37;"No Information Available";"381 W. Loudon Ave, Lexington, KY, 40508";"710 Glendover Road, Lexington, KY, 40503";"Y";"Y";"11/30/2023";"School_Age";"L356019";
283;"Kinder Care Learning Center #963";"3199 Custer Drive";"Lexington";"FAYETTE";"KY";40517;8592728673;"Licensed";"APPROVED";157;"Y";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"No Information Available";"No Information Available";2;"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";75;95;75;95;65;90;60;75;60;75;60;75;60;75;60;75;"N";"3199 Custer Drive, Lexington, KY, 40517";"3199 Custer Drive, Lexington, KY, 40517";"Y";"Y";"9/30/2023";"Infant To School Age";"L353073";
675;"La Petite Academy";"148 Malibu Drive";"Lexington";"FAYETTE";"KY";40503;8592241287;"Licensed";"APPROVED";139;"Y";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"No Information Available";"No Information Available";4;"Y";"Y";"Y";"Y";"Y";"N";"Y";"Y";;62.8;;59.6;;55.2;33.6;48;33.6;48;33.6;48;17.6;39.6;17.6;39.6;"N";"148 Malibu Drive, Lexington, KY, 40503";"148 Malibu Drive, Lexington, KY, 40503";"Y";"Y";"12/31/2022";"Infant To School Age";"L354320";
756;"Baptist Health Lexington Child Development Center";"110 Southland Drive";"Lexington";"FAYETTE";"KY";40503;8592606976;"Licensed";"APPROVED";173;"Y";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"No Information Available";"No Information Available";4;"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";;44;;44;;42;;40;;40;;40;;;;;"N";"110 Southland Drive, Lexington, KY, 40503";"110 Southland Drive, Lexington, KY, 40503";"Y";"Y";"9/30/2023";"Infant To School Age";"L354521";
53283;"Summit Christian Preschool";"2780 Clays Mill Road";"Lexington";"FAYETTE";"KY";40503;8592770503;"Licensed";"APPROVED";79;"N";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";5;"N";"N";"Y";"Y";"N";"N";"N";"N";;;;;;;;;;;;;;;;;"N";"2780 Clays Mill Road, Lexington, KY, 40503";"2780 Clays Mill Road, Lexington, KY, 40503";"No Information Available";"N";"9/30/2023";"Toddler To Two_To_School";"L357776";
137353;"Beaumont Centre Family YMCA-SACC";"3251 Beaumont Centre Circle";"Lexington";"FAYETTE";"KY";40513;8592199622;"Licensed";"APPROVED";130;"Y";"7:15 AM - 6:00 PM";"7:15 AM - 6:00 PM";"7:15 AM - 6:00 PM";"7:15 AM - 6:00 PM";"7:15 AM - 6:00 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"N";"Y";;"Y";"N";;;;;;;;;;;;;14;37;14;37;"No Information Available";"381 W. Loudon Ave, Lexington, KY, 40508";"3251 Beaumont Centre Circle, Lexington, KY, 40513";"Y";"Y";"6/30/2023";"School_Age";"L383341";
1186;"Tots Landing Learning Center";"2245 Gulfstream Drive";"Lexington";"FAYETTE";"KY";40504;8592241445;"Licensed";"APPROVED";97;"Y";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";4;"Y";"Y";"Y";"Y";"N";"N";"N";"Y";;41;;40;;38;;36;;35;;;;;;;"N";"2245 Gulfstream Drive, Lexington, KY, 40504";"2245 Gulfstream Drive, Lexington, KY, 40504";"N";"Y";"8/31/2023";"Infant To Two_To_School";"L355515";
180256;"Little Lexington Academy, LLC";"4383 Old Harrodsburg Rd.";"Lexington";"FAYETTE";"KY";40513;8597393251;"Licensed";"APPROVED";60;"Y";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";1;"N";"Y";"Y";"Y";"Y";;"N";"N";;45;;43;;40;;38;;38;;;;;;;"No Information Available";"4383 Old Harrodsburg Rd., Ste 145, Lexington, KY, 40513";"4383 Old Harrodsburg Rd., Ste 145, Lexington, KY, 40513";"Y";"Y";"9/30/2023";"Infant To School Age";"L383626";"Ste 145"
