"FacilityID";"TypeofRegulation";"Date";"Details";"Results"
"7000561597_1";" Licensing ";" 04/27/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000561597&LocationNumber=1&DocumentNumber=5002977344"
"7000561597_1";" Licensing ";" 11/06/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000561597&LocationNumber=1&DocumentNumber=5002048539"
"7000561597_1";" Licensing ";" 09/04/2019 ";" No violations found ***";
"7000561597_1";" Licensing ";" 07/22/2019 ";" No violations found ***";
"7000561597_1";" Licensing ";" 05/15/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000561597&LocationNumber=1&DocumentNumber=5001638646"
"7000561597_1";" Licensing ";" 12/03/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000561597&LocationNumber=1&DocumentNumber=5001384497"
"8000576378_1";" Licensing ";" 06/24/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576378&LocationNumber=1&DocumentNumber=5003054381"
"8000576378_1";" Licensing ";" 02/04/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576378&LocationNumber=1&DocumentNumber=5002227046"
"8000576378_1";" Licensing ";" 08/19/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576378&LocationNumber=1&DocumentNumber=5001849279"
"8000576378_1";" Licensing ";" 12/03/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576378&LocationNumber=1&DocumentNumber=5001380708"
"6000568896_1";" Licensing ";" 02/01/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000568896&LocationNumber=1&DocumentNumber=5002780518"
"6000568896_1";" Licensing ";" 08/21/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000568896&LocationNumber=1&DocumentNumber=5001849500"
"6000568896_1";" Certification ";" 06/18/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000568896&LocationNumber=1&DocumentNumber=5001702400"
"6000568896_1";" Licensing ";" 12/04/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000568896&LocationNumber=1&DocumentNumber=5001517328"
"2000573192_1";" Licensing ";" 01/26/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000573192&LocationNumber=1&DocumentNumber=5002769470"
